Language,Default

#DeepL+PE

#,[ Junk - Election ]
60_Junk1x1_E_001_NameKey,Запчасти Радиоприемника Радио
60_Junk1x1_E_001_DescKey,"Старый радиоприемник. Она разваливается на части, и большая часть проводов оголена или оборвана."

60_Junk1x1_E_002_NameKey,Карманный Компьютер
60_Junk1x1_E_002_DescKey,"Какое-то портативное устройство, возможно, особый калькулятор. В любом случае, он не работает."

60_Junk1x1_E_003_NameKey,Запчасти Портативного Радио
60_Junk1x1_E_003_DescKey,"С первого взгляда он выглядит относительно целым и невредимым, но кнопки не реагируют на нажатия. Его необходимо переработать."

60_Junk1x1_E_004_NameKey,Старая Камера
60_Junk1x1_E_004_DescKey,"Старомодная камера. Она может пригодиться на запчасти, но кто, черт возьми, притащил это на Титан?"

60_Junk1x1_E_005_NameKey,Диктофон
60_Junk1x1_E_005_DescKey,"Электронное записывающее устройство. И оно, и данные, содержащиеся в нем, уничтожены за ненадобностью."

#,[ Junk - Fiber ]
60_Junk1x1_F_001_NameKey,Тряпки
60_Junk1x1_F_001_DescKey,"Куча старых, изодранных тряпок."

60_Junk2x2_F_001_NameKey,Поврежденная Броня
60_Junk2x2_F_001_DescKey,"Броня, которая была повреждена до полной непригодности. Переработать ее в новую броню, наверное, будет правильнее."

60_Junk2x2_F_002_NameKey,Разорваная Рубашка
60_Junk2x2_F_002_DescKey,"Красивая рубашка, изрядно потрепанная пребыванием на Титане."

60_Junk2x2_F_004_NameKey,Разорваная Униформа
60_Junk2x2_F_004_DescKey,"Сильно поврежденная форма шахтера. Похоже, она, по крайней мере, неплохо справлялась со своей работой."

60_Junk2x2_F_005_NameKey,Разорваные Ботинки
60_Junk2x2_F_005_DescKey,"Бронированные ботинки, которые были порваны на части. Возможно их можно использовать для изготовления новых ботинок."

#EndPE

60_Junk2x2_F_006_NameKey,Разорваные обувь
60_Junk2x2_F_006_DescKey,Простая пара обуви, которую никогда больше не будут носить.

60_Junk2x2_F_010_NameKey,Разорваные Модные Перчатки
60_Junk2x2_F_010_DescKey,Слегка поврежденные перчатки. Они слишком тонкие, чтобы предложить что-то полезное.

#,[ Junk - Metal ]
60_Junk1x1_M_001_NameKey,Груда Хлама
60_Junk1x1_M_001_DescKey,Случайные кусочки металла и хлама из офиса Дэвида. Он считает, что вы сможете сделать из этого что-нибудь.

60_Junk1x1_M_002_NameKey,Металлолом
60_Junk1x1_M_002_DescKey,Куски металла, оставшиеся после разборки.

60_Junk1x1_M_004_NameKey,Миска
